COM;REG;DEP;NCC;NCCENR;LIBELLE
14474;28;14;NOTRE DAME D ESTREES CORBON;Notre-Dame-d'Estrées-Corbon;Notre-Dame-d'Estrées-Corbon
14475;28;14;VAL D ARRY;Val d'Arry;Val d'Arry
14475;;;NOYERS BOCAGE;Noyers-Bocage;Noyers-Bocage
14476;28;14;OLENDON;Olendon;Olendon
14477;;;ONDEFONTAINE;Ondefontaine;Ondefontaine
14478;28;14;ORBEC;Orbec;Orbec
14479;;;ORBOIS;Orbois;Orbois
14480;28;14;OSMANVILLE;Osmanville;Osmanville
14481;;;OUBEAUX;Oubeaux;Les Oubeaux
14482;28;14;OUEZY;Ouézy;Ouézy
14483;28;14;OUFFIERES;Ouffières;Ouffières
14484;28;14;OUILLY DU HOULEY;Ouilly-du-Houley;Ouilly-du-Houley
14486;28;14;OUILLY LE TESSON;Ouilly-le-Tesson;Ouilly-le-Tesson
14487;28;14;OUILLY LE VICOMTE;Ouilly-le-Vicomte;Ouilly-le-Vicomte
14488;28;14;OUISTREHAM;Ouistreham;Ouistreham
14489;;;OUVILLE LA BIEN TOURNEE;Ouville-la-Bien-Tournée;Ouville-la-Bien-Tournée
14491;28;14;PARFOURU SUR ODON;Parfouru-sur-Odon;Parfouru-sur-Odon
14492;28;14;PENNEDEPIE;Pennedepie;Pennedepie
14493;;;PERCY EN AUGE;Percy-en-Auge;Percy-en-Auge
14494;28;14;PERIERS EN AUGE;Périers-en-Auge;Périers-en-Auge
14495;28;14;PERIERS SUR LE DAN;Périers-sur-le-Dan;Périers-sur-le-Dan
14496;28;14;PERIGNY;Périgny;Périgny
14497;28;14;PERRIERES;Perrières;Perrières
14498;28;14;PERTHEVILLE NERS;Pertheville-Ners;Pertheville-Ners
14499;28;14;PETIVILLE;Petiville;Petiville
14500;28;14;PIERREFITTE EN AUGE;Pierrefitte-en-Auge;Pierrefitte-en-Auge
14501;28;14;PIERREFITTE EN CINGLAIS;Pierrefitte-en-Cinglais;Pierrefitte-en-Cinglais
14502;28;14;PIERREPONT;Pierrepont;Pierrepont
14503;;;PIERRES;Pierres;Pierres
14504;28;14;PIN;Pin;Le Pin
14505;;;PLACY;Placy;Placy
14506;28;14;PLANQUERY;Planquery;Planquery
14508;;;PLESSIS GRIMOULT;Plessis-Grimoult;Le Plessis-Grimoult
14509;28;14;PLUMETOT;Plumetot;Plumetot
14510;28;14;POMMERAYE;Pommeraye;La Pommeraye
14511;28;14;PONT BELLANGER;Pont-Bellanger;Pont-Bellanger
14512;28;14;PONTECOULANT;Pontécoulant;Pontécoulant
14514;28;14;PONT L EVEQUE;Pont-l'Évêque;Pont-l'Évêque
14515;28;14;PORT EN BESSIN HUPPAIN;Port-en-Bessin-Huppain;Port-en-Bessin-Huppain
14516;28;14;POTIGNY;Potigny;Potigny
14517;;;POUSSY LA CAMPAGNE;Poussy-la-Campagne;Poussy-la-Campagne
14518;;;PREAUX SAINT SEBASTIEN;Préaux-Saint-Sébastien;Préaux-Saint-Sébastien
14519;28;14;PREAUX BOCAGE;Préaux-Bocage;Préaux-Bocage
14520;28;14;PRE D AUGE;Pré-d'Auge;Le Pré-d'Auge
14521;;;PRESLES;Presles;Presles
14522;28;14;PRETREVILLE;Prêtreville;Prêtreville
14523;;;PROUSSY;Proussy;Proussy
14524;28;14;PUTOT EN AUGE;Putot-en-Auge;Putot-en-Auge
14525;;;PUTOT EN BESSIN;Putot-en-Bessin;Putot-en-Bessin
14527;28;14;BELLE VIE EN AUGE;Belle Vie en Auge;Belle Vie en Auge
14527;;;BIEVILLE QUETIEVILLE;Biéville-Quétiéville;Biéville-Quétiéville
14528;28;14;QUETTEVILLE;Quetteville;Quetteville
14529;28;14;RANCHY;Ranchy;Ranchy
14530;28;14;RANVILLE;Ranville;Ranville
14531;28;14;RAPILLY;Rapilly;Rapilly
14532;;;RECULEY;Reculey;Le Reculey
14533;28;14;REPENTIGNY;Repentigny;Repentigny
14534;28;14;REUX;Reux;Reux
14535;28;14;REVIERS;Reviers;Reviers
14536;28;14;RIVIERE SAINT SAUVEUR;Rivière-Saint-Sauveur;La Rivière-Saint-Sauveur
14537;;;ROBEHOMME;Robehomme;Robehomme
14538;28;14;CASTINE EN PLAINE;Castine-en-Plaine;Castine-en-Plaine
14538;;;ROCQUANCOURT;Rocquancourt;Rocquancourt
14539;;;ROCQUE;Rocque;La Rocque
14540;28;14;ROCQUES;Rocques;Rocques
14541;28;14;ROQUE BAIGNARD;Roque-Baignard;La Roque-Baignard
14542;28;14;ROSEL;Rosel;Rosel
14543;28;14;ROTS;Rots;Rots
14543;;;ROTS;Rots;Rots
14544;;;ROUCAMPS;Roucamps;Roucamps
14545;;;ROULLOURS;Roullours;Roullours
